Day_Index,Hour,Sales
1,8,32
1,9,65
1,10,71
1,11,50
1,12,83
1,13,83
1,14,119
1,15,29
1,16,39
1,17,41
1,18,126
1,19,102
1,20,148
1,21,155
2,8,26
2,9,57
2,10,73
2,11,64
2,12,104
2,13,97
2,14,117
2,15,45
2,16,33
2,17,28
2,18,99
2,19,110
2,20,159
2,21,137
3,8,20
3,9,68
3,10,53
3,11,74
3,12,129
3,13,109
3,14,99
3,15,39
3,16,34
3,17,27
3,18,122
3,19,155
3,20,99
3,21,147
4,8,20
4,9,60
4,10,70
4,11,73
4,12,115
4,13,91
4,14,108
4,15,22
4,16,20
4,17,20
4,18,126
4,19,143
4,20,95
4,21,128
5,8,28
5,9,70
5,10,67
5,11,65
5,12,84
5,13,121
5,14,122
5,15,46
5,16,44
5,17,21
5,18,155
5,19,131
5,20,147
5,21,125
6,8,26
6,9,73
6,10,61
6,11,64
6,12,98
6,13,107
6,14,80
6,15,34
6,16,23
6,17,41
6,18,102
6,19,132
6,20,158
6,21,96
7,8,24
7,9,65
7,10,70
7,11,53
7,12,92
7,13,116
7,14,120
7,15,34
7,16,35
7,17,40
7,18,148
7,19,113
7,20,103
7,21,138
