Day,Hour,Sales
Monday,8,16
Monday,9,59
Monday,10,68
Monday,11,54
Monday,12,112
Monday,13,77
Monday,14,90
Monday,15,16
Monday,16,35
Monday,17,28
Monday,18,103
Monday,19,82
Monday,20,101
Monday,21,132
Tuesday,8,11
Tuesday,9,63
Tuesday,10,51
Tuesday,11,69
Tuesday,12,107
Tuesday,13,71
Tuesday,14,90
Tuesday,15,10
Tuesday,16,21
Tuesday,17,35
Tuesday,18,101
Tuesday,19,128
Tuesday,20,138
Tuesday,21,121
Wednesday,8,37
Wednesday,9,67
Wednesday,10,55
Wednesday,11,54
Wednesday,12,116
Wednesday,13,113
Wednesday,14,72
Wednesday,15,14
Wednesday,16,28
Wednesday,17,16
Wednesday,18,100
Wednesday,19,118
Wednesday,20,97
Wednesday,21,83
Thursday,8,34
Thursday,9,67
Thursday,10,53
Thursday,11,57
Thursday,12,78
Thursday,13,95
Thursday,14,71
Thursday,15,29
Thursday,16,37
Thursday,17,24
Thursday,18,139
Thursday,19,123
Thursday,20,87
Thursday,21,126
Friday,8,12
Friday,9,53
Friday,10,56
Friday,11,43
Friday,12,119
Friday,13,109
Friday,14,73
Friday,15,11
Friday,16,39
Friday,17,15
Friday,18,133
Friday,19,83
Friday,20,133
Friday,21,142
Saturday,8,27
Saturday,9,65
Saturday,10,51
Saturday,11,41
Saturday,12,79
Saturday,13,105
Saturday,14,83
Saturday,15,25
Saturday,16,24
Saturday,17,17
Saturday,18,141
Saturday,19,119
Saturday,20,132
Saturday,21,103
Sunday,8,35
Sunday,9,64
Sunday,10,67
Sunday,11,67
Sunday,12,114
Sunday,13,110
Sunday,14,98
Sunday,15,24
Sunday,16,22
Sunday,17,10
Sunday,18,88
Sunday,19,80
Sunday,20,87
Sunday,21,142
