OrderID,CustomerID,TransactionDate,ProductID,ProductName,ProductCategory,AmountSpent,DiscountApplied,FinalAmount,PaymentMethod,Location,CustomerSignupDate,CustomerAge,Gender,IncomeGroup
O543555,1273,2024-04-07,P102,Product-P102,Home,161.57,12.85,148.72,UPI,Bangalore,2023-04-09,52,Male,Low
O871476,1053,2024-05-04,P258,Product-P258,Grocery,27.5,2.45,25.05,Credit Card,Chennai,2023-07-13,24,Male,Medium
O627276,1078,2024-01-16,P865,Product-P865,Clothing,120.95,2.07,118.88,Cash,Hyderabad,2023-07-01,31,Other,High
O171849,1221,2024-05-15,P261,Product-P261,Electronics,471.88,136.01,335.87,Credit Card,Delhi,2023-04-26,21,Male,Low
O707040,1037,2024-01-18,P791,Product-P791,Grocery,144.58,17.51,127.07,Cash,Delhi,2023-05-23,20,Male,Low
O648177,1008,2024-01-11,P734,Product-P734,Electronics,187.57,23.59,163.98,Cash,Chennai,2023-02-22,36,Other,Low
O378517,1254,2024-03-21,P367,Product-P367,Grocery,76.24,15.32,60.92,Net Banking,Delhi,2023-04-08,28,Male,High
O580547,1129,2024-04-11,P234,Product-P234,Clothing,100.55,13.79,86.76,Credit Card,Mumbai,2023-04-23,18,Male,Medium
O465962,1198,2024-01-26,P175,Product-P175,Beauty,318.16,20.35,297.81,Net Banking,Delhi,2023-03-07,41,Female,Medium
O837715,1198,2024-01-18,P350,Product-P350,Clothing,58.96,5.04,53.92,UPI,Chennai,2023-03-07,41,Female,Medium
O795613,1250,2024-03-18,P726,Product-P726,Beauty,268.96,0.63,268.33,Cash,Bangalore,2023-08-31,56,Male,High
O262998,1299,2024-01-27,P999,Product-P999,Grocery,21.89,1.74,20.15,Credit Card,Chennai,2023-01-31,53,Male,High
O820892,1116,2024-03-10,P388,Product-P388,Beauty,457.02,28.88,428.14,Net Banking,Delhi,2023-08-23,25,Female,Low
O765095,1007,2024-03-08,P617,Product-P617,Home,214.98,16.2,198.78,Credit Card,Mumbai,2023-03-13,56,Male,Medium
O768061,1124,2024-04-18,P949,Product-P949,Clothing,132.48,1.75,130.73,Net Banking,Delhi,2023-10-27,61,Male,Medium
O110139,1056,2024-03-08,P265,Product-P265,Home,148.14,24.52,123.62,UPI,Chennai,2023-05-31,64,Male,Medium
O679364,1105,2024-01-29,P177,Product-P177,Grocery,105.42,17.25,88.17,Net Banking,Chennai,2023-07-25,25,Other,Medium
O475190,1136,2024-02-07,P540,Product-P540,Grocery,129.71,1.63,128.08,Net Banking,Mumbai,2023-03-20,22,Other,Low
O526117,1228,2024-02-23,P798,Product-P798,Grocery,90.04,18.02,72.02,Net Banking,Chennai,2023-10-29,23,Female,Medium
